281bc0b 1 authenticationController.c:11 :POST:/authentication:1:Wrong Login.
29b7e73 2 projectsController.c:20:proje :POST:/project:2:Create Project!
29ba5d7 2 projectsController.c:20:proje :POST:/project:2:Create Project!
29c5c9b 2 projectsController.c:20:proje :POST:/project:2:Create Project!
29c5cbe 2 projectsController.c:10:proje :GET:/project:2:Create Project!
29c73f3 2 projectsController.c:20:proje :POST:/project:2:Create Project!
29c7410 2 projectsController.c:10:proje :GET:/project:2:Create Project!
29ca3cb 2 projectsController.c:10:proje :GET:/project:2:Create Project!
29f2ba6 2 projectsController.c:20:proje :POST:/project:2:Create Project!
29f2bc9 2 projectsController.c:10:proje :GET:/project:2:Create Project!
54b226 2 projectsController.c:20:projec :POST:/project:2:Create Project!
54b24e 2 usersController.c:13:usersCont :POST:/users:2:User created!
54b273 2 usersController.c:21:usersCont :DELETE:/users?id=1:2:Deleted user!
54b291 2 usersController.c:21:usersCont :DELETE:/users?id=1:2:Deleted user!
54fa54 2 projectsController.c:10:projec :GET:/project:2:Create Project!
54fa7a 2 usersController.c:13:usersCont :POST:/users:2:User created!
54fa9d 2 usersController.c:21:usersCont :DELETE:/users?id=1:2:Deleted user!
54fabf 2 usersController.c:21:usersCont :DELETE:/users?id=1:2:Deleted user!
5b2cf2 1 usersController.c:11:usersCont :POST:/users:1:Error to create user!
